run-id,use_vernalisation_fix,yields,bgr,pheno,sowing-date,harvest-date,nc_mode,crop-id,sim.json,crop.json,site.json,incl_hist,climate_path_to_latlon_file,climate_path_to_csvs,gcm,rcm,scenario,ensmem,version,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,comment
1,true,false,false,true,fixed,auto,false,WB_sfix_hauto,sim_final.json,crop_final.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,CCCma-CanESM2,CLMcom-CCLM4-8-17,rcp85,r1i1p1,v1,1960-01-01,2099-12-31,false,false,true,true,true,false,false,true,false,true,false,false,false,,,0.7,80_256_216_100_267_25,simulation_runs_with_dwd_ensemble
2,true,false,false,true,fixed,auto,false,WB_sfix_hauto,sim_final.json,crop_final.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,CLMcom-CCLM4-8-17,rcp26,r12i1p1,v1,1960-01-01,2099-12-31,false,false,true,true,true,false,false,true,false,true,false,false,false,,,0.7,80_256_216_100_267_25,simulation_runs_with_dwd_ensemble
3,true,false,false,true,fixed,auto,false,WB_sfix_hauto,sim_final.json,crop_final.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp26,r12i1p1,v1,1960-01-01,2099-12-31,false,false,true,true,true,false,false,true,false,true,false,false,false,,,0.7,80_256_216_100_267_25,simulation_runs_with_dwd_ensemble
4,true,false,false,true,fixed,auto,false,WB_sfix_hauto,sim_final.json,crop_final.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,r1i1p1,v1,1960-01-01,2099-12-31,false,false,true,true,true,false,false,true,false,true,false,false,false,,,0.7,80_256_216_100_267_25,simulation_runs_with_dwd_ensemble
5,true,false,false,true,fixed,auto,false,WB_sfix_hauto,sim_final.json,crop_final.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,r12i1p1,v1,1960-01-01,2099-12-31,false,false,true,true,true,false,false,true,false,true,false,false,false,,,0.7,80_256_216_100_267_25,simulation_runs_with_dwd_ensemble
6,true,false,false,true,fixed,auto,false,WB_sfix_hauto,sim_final.json,crop_final.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,1960-01-01,2099-12-31,false,false,true,true,true,false,false,true,false,true,false,false,false,,,0.7,80_256_216_100_267_25,simulation_runs_with_dwd_ensemble
7,true,false,false,true,fixed,auto,false,WB_sfix_hauto,sim_final.json,crop_final.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,SMHI-RCA4,rcp45,r12i1p1,v1,1960-01-01,2099-12-31,false,false,true,true,true,false,false,true,false,true,false,false,false,,,0.7,80_256_216_100_267_25,simulation_runs_with_dwd_ensemble
8,true,false,false,true,fixed,auto,false,WB_sfix_hauto,sim_final.json,crop_final.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MIROC-MIROC5,CLMcom-CCLM4-8-17,rcp26,r1i1p1,v1,1960-01-01,2099-12-31,false,false,true,true,true,false,false,true,false,true,false,false,false,,,0.7,80_256_216_100_267_25,simulation_runs_with_dwd_ensemble
9,true,false,false,true,fixed,auto,false,WB_sfix_hauto,sim_final.json,crop_final.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MIROC-MIROC5,GERICS-REMO2015,rcp85,r1i1p1,v1,1960-01-01,2099-12-31,false,false,true,true,true,false,false,true,false,true,false,false,false,,,0.7,80_256_216_100_267_25,simulation_runs_with_dwd_ensemble
10,true,false,false,true,fixed,auto,false,WB_sfix_hauto,sim_final.json,crop_final.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp45,r1i1p1,v1,1960-01-01,2099-12-31,false,false,true,true,true,false,false,true,false,true,false,false,false,,,0.7,80_256_216_100_267_25,simulation_runs_with_dwd_ensemble
11,true,false,false,true,fixed,auto,false,WB_sfix_hauto,sim_final.json,crop_final.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp85,r1i1p1,v1,1960-01-01,2099-12-31,false,false,true,true,true,false,false,true,false,true,false,false,false,,,0.7,80_256_216_100_267_25,simulation_runs_with_dwd_ensemble
12,true,false,false,true,fixed,auto,false,WB_sfix_hauto,sim_final.json,crop_final.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MOHC-HadGEM2-ES,KNMI-RACMO22E,rcp26,r1i1p1,v2,1960-01-01,2099-12-31,false,false,true,true,true,false,false,true,false,true,false,false,false,,,0.7,80_256_216_100_267_25,simulation_runs_with_dwd_ensemble
13,true,false,false,true,fixed,auto,false,WB_sfix_hauto,sim_final.json,crop_final.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp26,r2i1p1,v1,1960-01-01,2099-12-31,false,false,true,true,true,false,false,true,false,true,false,false,false,,,0.7,80_256_216_100_267_25,simulation_runs_with_dwd_ensemble
14,true,false,false,true,fixed,auto,false,WB_sfix_hauto,sim_final.json,crop_final.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp45,r1i1p1,v1,1960-01-01,2099-12-31,false,false,true,true,true,false,false,true,false,true,false,false,false,,,0.7,80_256_216_100_267_25,simulation_runs_with_dwd_ensemble
15,true,false,false,true,fixed,auto,false,WB_sfix_hauto,sim_final.json,crop_final.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp45,r2i1p1,v1,1960-01-01,2099-12-31,false,false,true,true,true,false,false,true,false,true,false,false,false,,,0.7,80_256_216_100_267_25,simulation_runs_with_dwd_ensemble
16,true,false,false,true,fixed,auto,false,WB_sfix_hauto,sim_final.json,crop_final.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp85,r2i1p1,v1,1960-01-01,2099-12-31,false,false,true,true,true,false,false,true,false,true,false,false,false,,,0.7,80_256_216_100_267_25,simulation_runs_with_dwd_ensemble
17,true,false,false,true,fixed,auto,false,WB_sfix_hauto,sim_final.json,crop_final.json,site.json,true,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MPI-M-MPI-ESM-LR,UHOH-WRF361H,rcp85,r1i1p1,v1,1960-01-01,2099-12-31,false,false,true,true,true,false,false,true,false,true,false,false,false,,,0.7,80_256_216_100_267_25,simulation_runs_with_dwd_ensemble
18,true,false,false,true,fixed,auto,false,WB_sfix_hauto,sim_final_historic.json,crop_final.json,site.json,false,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1970-01-01,2019-12-31,false,false,true,true,true,false,false,true,false,true,false,false,false,,,0.7,80_256_216_100_267_25,historic_runs_for_validation
